summary,id,field,bt,bg,term,cardinality,format,missingFrom,belongsAt,presentIn,reason,evidence,applicability,severity,source
ubl · seller.legalRegScheme missing from json,ubl|seller.legalRegScheme|json,seller.legalRegScheme,,,,,ubl,json,seller.legalRegScheme,model Legal registration scheme; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · seller.name missing from json,ubl|seller.name|json,seller.name,BT-27,BG-4,Seller name,1..1,ubl,json,BT-27,model BT-27; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /name/legal — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.tradeName missing from json,ubl|seller.tradeName|json,seller.tradeName,BT-28,BG-4,Seller trading name,0..1,ubl,json,BT-28,model BT-28; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /name/trade — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.vatId missing from json,ubl|seller.vatId|json,seller.vatId,BT-31,BG-4,Seller VAT identifier,0..1,ubl,json,BT-31,model BT-31; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/vat_id_number — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · totals.allowance missing from json,ubl|totals.allowance|json,totals.allowance,BT-107,BG-22,Sum of allowances on document level,0..1,ubl,json,BT-107,model BT-107; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · totals.charge missing from json,ubl|totals.charge|json,totals.charge,BT-108,BG-22,Sum of charges on document level,0..1,ubl,json,BT-108,model BT-108; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · totals.lineExtension missing from json,ubl|totals.lineExtension|json,totals.lineExtension,BT-106,BG-22,Sum of Invoice line net amount,1..1,ubl,json,BT-106,model BT-106; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · totals.prepaid missing from json,ubl|totals.prepaid|json,totals.prepaid,BT-113,BG-22,Paid amount,0..1,ubl,json,BT-113,model BT-113; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · totals.rounding missing from json,ubl|totals.rounding|json,totals.rounding,BT-114,BG-22,Rounding amount,0..1,ubl,json,BT-114,model BT-114; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · typeCode missing from json,ubl|typeCode|json,typeCode,BT-3,BG-0,Invoice type code,1..1,ubl,json,BT-3,model BT-3; json —; xml mapped,BT-3 is derived by fiskaly; the operation only distinguishes INVOICE from CORRECTION,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · vatBreakdown.{i}.rate missing from json,ubl|vatBreakdown.{i}.rate|json,vatBreakdown.{i}.rate,BT-119,BG-23,VAT category rate,1..1,ubl,json,/breakdown/{i}/percentage,model BT-119; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · vatBreakdown.{i}.vatexCode missing from json,ubl|vatBreakdown.{i}.vatexCode|json,vatBreakdown.{i}.vatexCode,BT-121,BG-23,VAT exemption reason code,0..1,ubl,json,BT-121,model BT-121; json —; xml mapped,rateCode/exemptionCode are many-to-one: the SystemVatRateCode and SystemVatExemptionCode enums cannot express Natura or a VATEX code,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · buyer.channel.codiceDestinatario missing from xml,ubl|buyer.channel.codiceDestinatario|xml,buyer.channel.codiceDestinatario,,,,,ubl,xml,buyer.channel.codiceDestinatario,model SDI destination code; json /recipients/{i}/invoicing/destination_code; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,note,structural · ubl-map.ts · R3
ubl · buyer.channel.email missing from xml,ubl|buyer.channel.email|xml,buyer.channel.email,,,,,ubl,xml,buyer.channel.email,model Recipient email address; json /recipients/{i}/invoicing/email; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · buyer.channel.format missing from xml,ubl|buyer.channel.format|xml,buyer.channel.format,,,,,ubl,xml,buyer.channel.format,model Email attachment format; json /recipients/{i}/invoicing/format; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: not_required,note,structural · ubl-map.ts · R3
ubl · buyer.channel.participantId missing from xml,ubl|buyer.channel.participantId|xml,buyer.channel.participantId,,,,,ubl,xml,buyer.channel.participantId,model Peppol participant identifier; json /recipients/{i}/invoicing/identifier; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,note,structural · ubl-map.ts · R3
ubl · buyer.channel.pec missing from xml,ubl|buyer.channel.pec|xml,buyer.channel.pec,,,,,ubl,xml,buyer.channel.pec,model Recipient PEC address; json /recipients/{i}/invoicing/pec; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · buyer.person.forename missing from xml,ubl|buyer.person.forename|xml,buyer.person.forename,,,,,ubl,xml,buyer.person.forename,model Forename; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · buyer.person.gender missing from xml,ubl|buyer.person.gender|xml,buyer.person.gender,,,,,ubl,xml,buyer.person.gender,model Gender; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · buyer.person.surname missing from xml,ubl|buyer.person.surname|xml,buyer.person.surname,,,,,ubl,xml,buyer.person.surname,model Surname; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · buyer.taxId missing from xml,ubl|buyer.taxId|xml,buyer.taxId,,,,,ubl,xml,buyer.taxId,model Tax registration identifier (codice fiscale); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · it.bollo.amount missing from xml,ubl|it.bollo.amount|xml,it.bollo.amount,,,,,ubl,xml,it.bollo.amount,model Stamp duty amount; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · it.bollo.virtuale missing from xml,ubl|it.bollo.virtuale|xml,it.bollo.virtuale,,,,,ubl,xml,it.bollo.virtuale,model Virtual stamp duty indicator; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · it.cig missing from xml,ubl|it.cig|xml,it.cig,,,,,ubl,xml,it.cig,model CIG - codice identificativo gara; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · it.cup missing from xml,ubl|it.cup|xml,it.cup,,,,,ubl,xml,it.cup,model CUP - codice unico di progetto; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · lines.{i}.it.altriDatiGestionali.riferimentoData missing from xml,ubl|lines.{i}.it.altriDatiGestionali.riferimentoData|xml,lines.{i}.it.altriDatiGestionali.riferimentoData,,,,,ubl,xml,lines.{i}.it.altriDatiGestionali.riferimentoData,model Management data date (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · lines.{i}.it.altriDatiGestionali.riferimentoNumero missing from xml,ubl|lines.{i}.it.altriDatiGestionali.riferimentoNumero|xml,lines.{i}.it.altriDatiGestionali.riferimentoNumero,,,,,ubl,xml,lines.{i}.it.altriDatiGestionali.riferimentoNumero,model Management data number (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · lines.{i}.it.altriDatiGestionali.riferimentoTesto missing from xml,ubl|lines.{i}.it.altriDatiGestionali.riferimentoTesto|xml,lines.{i}.it.altriDatiGestionali.riferimentoTesto,,,,,ubl,xml,lines.{i}.it.altriDatiGestionali.riferimentoTesto,model Management data text (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · lines.{i}.it.altriDatiGestionali.tipoDato missing from xml,ubl|lines.{i}.it.altriDatiGestionali.tipoDato|xml,lines.{i}.it.altriDatiGestionali.tipoDato,,,,,ubl,xml,lines.{i}.it.altriDatiGestionali.tipoDato,model Management data type (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · lines.{i}.vat.natura missing from xml,ubl|lines.{i}.vat.natura|xml,lines.{i}.vat.natura,,,,,ubl,xml,lines.{i}.vat.natura,model Line natura (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · lines.{i}.vat.reason missing from xml,ubl|lines.{i}.vat.reason|xml,lines.{i}.vat.reason,,,,,ubl,xml,lines.{i}.vat.reason,model Line VAT exemption reason text; json /entries/{i}/data/vat/reason; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,note,structural · ubl-map.ts · R3
ubl · lines.{i}.vat.vatexCode missing from xml,ubl|lines.{i}.vat.vatexCode|xml,lines.{i}.vat.vatexCode,,,,,ubl,xml,lines.{i}.vat.vatexCode,model Line VAT exemption reason code; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · payment.conditions missing from xml,ubl|payment.conditions|xml,payment.conditions,,,,,ubl,xml,payment.conditions,model Payment conditions (CondizioniPagamento); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · payment.italianMeansCode missing from xml,ubl|payment.italianMeansCode|xml,payment.italianMeansCode,,,,,ubl,xml,payment.italianMeansCode,model Payment means (ModalitaPagamento); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · references.despatchAdvice.issueDate missing from xml,ubl|references.despatchAdvice.issueDate|xml,references.despatchAdvice.issueDate,,,,,ubl,xml,references.despatchAdvice.issueDate,model Despatch advice date; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.it.rea.capital missing from xml,ubl|seller.it.rea.capital|xml,seller.it.rea.capital,,,,,ubl,xml,seller.it.rea.capital,model Share capital; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.it.rea.liquidation missing from xml,ubl|seller.it.rea.liquidation|xml,seller.it.rea.liquidation,,,,,ubl,xml,seller.it.rea.liquidation,model Liquidation status; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.it.rea.number missing from xml,ubl|seller.it.rea.number|xml,seller.it.rea.number,,,,,ubl,xml,seller.it.rea.number,model REA registration number; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.it.rea.office missing from xml,ubl|seller.it.rea.office|xml,seller.it.rea.office,,,,,ubl,xml,seller.it.rea.office,model REA registration office; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.it.rea.soleShareholder missing from xml,ubl|seller.it.rea.soleShareholder|xml,seller.it.rea.soleShareholder,,,,,ubl,xml,seller.it.rea.soleShareholder,model Sole shareholder indicator; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.it.regimeFiscale missing from xml,ubl|seller.it.regimeFiscale|xml,seller.it.regimeFiscale,,,,,ubl,xml,seller.it.regimeFiscale,model Tax regime (RegimeFiscale); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.person.forename missing from xml,ubl|seller.person.forename|xml,seller.person.forename,,,,,ubl,xml,seller.person.forename,model Forename; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.person.gender missing from xml,ubl|seller.person.gender|xml,seller.person.gender,,,,,ubl,xml,seller.person.gender,model Gender; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.person.surname missing from xml,ubl|seller.person.surname|xml,seller.person.surname,,,,,ubl,xml,seller.person.surname,model Surname; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · seller.taxId missing from xml,ubl|seller.taxId|xml,seller.taxId,BT-32,BG-4,Seller tax registration identifier,0..1,ubl,xml,BT-32,model BT-32; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · vatBreakdown.{i}.esigibilita missing from xml,ubl|vatBreakdown.{i}.esigibilita|xml,vatBreakdown.{i}.esigibilita,,,,,ubl,xml,vatBreakdown.{i}.esigibilita,model Esigibilita IVA (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
ubl · vatBreakdown.{i}.natura missing from xml,ubl|vatBreakdown.{i}.natura|xml,vatBreakdown.{i}.natura,,,,,ubl,xml,vatBreakdown.{i}.natura,model Natura (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · ubl-map.ts · R3
xrechnung · /recipients/{i}/shipping/address/line/type missing from model,operation|/recipients/{i}/shipping/address/line/type|model,,,,,,xrechnung,model,/recipients/{i}/shipping/address/line/type,model —; json /recipients/{i}/shipping/address/line/type; xml —,The operation accepts this pointer but no model field addresses it,,DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
xrechnung · buyer.contact.email missing from json,xrechnung|buyer.contact.email|json,buyer.contact.email,BT-58,BG-9,Buyer contact email address,0..1,xrechnung,json,BT-58,model BT-58; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · buyer.contact.name missing from json,xrechnung|buyer.contact.name|json,buyer.contact.name,BT-56,BG-9,Buyer contact point,0..1,xrechnung,json,BT-56,model BT-56; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · buyer.contact.phone missing from json,xrechnung|buyer.contact.phone|json,buyer.contact.phone,BT-57,BG-9,Buyer contact telephone number,0..1,xrechnung,json,BT-57,model BT-57; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · buyer.legalRegScheme missing from json,xrechnung|buyer.legalRegScheme|json,buyer.legalRegScheme,,,,,xrechnung,json,buyer.legalRegScheme,model Legal registration scheme; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · buyer.tradeName missing from json,xrechnung|buyer.tradeName|json,buyer.tradeName,BT-45,BG-7,Buyer trading name,0..1,xrechnung,json,BT-45,model BT-45; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · delivery.date missing from json,xrechnung|delivery.date|json,delivery.date,BT-72,BG-13,Actual delivery date,0..1,xrechnung,json,/recipients/{i}/shipping/date,model BT-72; json —; xml mapped,"BT-72 only travels inside recipients[].shipping, which requires BG-15: without a delivery address there is nowhere to put it",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
xrechnung · lines.{i}.id missing from json,xrechnung|lines.{i}.id|json,lines.{i}.id,BT-126,BG-25,Invoice line identifier,1..1,xrechnung,json,/entries/{i}/details/number,model BT-126; json —; xml mapped,details.number is optional; without it the entry's position becomes the line id,Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
xrechnung · lines.{i}.vat.rate missing from json,xrechnung|lines.{i}.vat.rate|json,lines.{i}.vat.rate,BT-152,BG-30,Invoiced item VAT rate,0..1,xrechnung,json,/entries/{i}/data/vat/percentage,model BT-152; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
xrechnung · payment.accountName missing from json,xrechnung|payment.accountName|json,payment.accountName,BT-85,BG-17,Payment account name,0..1,xrechnung,json,/payments/{i}/instruction/name,model BT-85; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
xrechnung · payment.bic missing from json,xrechnung|payment.bic|json,payment.bic,BT-86,BG-17,Payment service provider identifier,0..1,xrechnung,json,/payments/{i}/instruction/payment_service_provider,model BT-86; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
xrechnung · payment.iban missing from json,xrechnung|payment.iban|json,payment.iban,BT-84,BG-17,Payment account identifier,1..1,xrechnung,json,/payments/{i}/instruction/account,model BT-84; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
xrechnung · references.invoicedObject missing from json,xrechnung|references.invoicedObject|json,references.invoicedObject,BT-18,BG-0,Invoiced object identifier,0..1,xrechnung,json,BT-18,model BT-18; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · references.salesOrder missing from json,xrechnung|references.salesOrder|json,references.salesOrder,BT-14,BG-0,Sales order reference,0..1,xrechnung,json,BT-14,model BT-14; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",Unobserved: no transmission capture exists for XRechnung 3.0.2 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
xrechnung · seller.address.city missing from json,xrechnung|seller.address.city|json,seller.address.city,BT-37,BG-5,Seller city,0..1,xrechnung,json,BT-37,model BT-37; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/city — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
xrechnung · seller.address.country missing from json,xrechnung|seller.address.country|json,seller.address.country,BT-40,BG-5,Seller country code,1..1,xrechnung,json,BT-40,model BT-40; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/country — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
xrechnung · seller.address.number missing from json,xrechnung|seller.address.number|json,seller.address.number,BT-36,BG-5,Seller address line 2,0..1,xrechnung,json,BT-36,model BT-36; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
